emoji,desc,unicode
🧔🏽,Uomo Con La Barba Carnagione Olivastra,U+1F9D4 U+1F3FD
🧔🏾,Uomo Con La Barba Carnagione Abbastanza Scura,U+1F9D4 U+1F3FE
🧔🏿,Uomo Con La Barba Carnagione Scura,U+1F9D4 U+1F3FF
👨‍🦰,Uomo Capelli Rossi,U+1F468 U+200D U+1F9B0
👨🏻‍🦰,Uomo Carnagione Chiara E Capelli Rossi,U+1F468 U+1F3FB U+200D U+1F9B0
👨🏼‍🦰,Uomo Carnagione Abbastanza Chiara E Capelli Rossi,U+1F468 U+1F3FC U+200D U+1F9B0
👨🏽‍🦰,Uomo Carnagione Olivastra E Capelli Rossi,U+1F468 U+1F3FD U+200D U+1F9B0
👨🏾‍🦰,Uomo Carnagione Abbastanza Scura E Capelli Rossi,U+1F468 U+1F3FE U+200D U+1F9B0
👨🏿‍🦰,Uomo Carnagione Scura E Capelli Rossi,U+1F468 U+1F3FF U+200D U+1F9B0
👨‍🦱,Uomo Capelli Ricci,U+1F468 U+200D U+1F9B1
👨🏻‍🦱,Uomo Carnagione Chiara E Capelli Ricci,U+1F468 U+1F3FB U+200D U+1F9B1
👨🏼‍🦱,Uomo Carnagione Abbastanza Chiara E Capelli Ricci,U+1F468 U+1F3FC U+200D U+1F9B1
👨🏽‍🦱,Uomo Carnagione Olivastra E Capelli Ricci,U+1F468 U+1F3FD U+200D U+1F9B1
👨🏾‍🦱,Uomo Carnagione Abbastanza Scura E Capelli Ricci,U+1F468 U+1F3FE U+200D U+1F9B1
👨🏿‍🦱,Uomo Carnagione Scura E Capelli Ricci,U+1F468 U+1F3FF U+200D U+1F9B1
👨‍🦳,Uomo Capelli Bianchi,U+1F468 U+200D U+1F9B3
👨🏻‍🦳,Uomo Carnagione Chiara E Capelli Bianchi,U+1F468 U+1F3FB U+200D U+1F9B3
👨🏼‍🦳,Uomo Carnagione Abbastanza Chiara E Capelli Bianchi,U+1F468 U+1F3FC U+200D U+1F9B3
👨🏽‍🦳,Uomo Carnagione Olivastra E Capelli Bianchi,U+1F468 U+1F3FD U+200D U+1F9B3
👨🏾‍🦳,Uomo Carnagione Abbastanza Scura E Capelli Bianchi,U+1F468 U+1F3FE U+200D U+1F9B3
👨🏿‍🦳,Uomo Carnagione Scura E Capelli Bianchi,U+1F468 U+1F3FF U+200D U+1F9B3
👨‍🦲,Uomo Calvo,U+1F468 U+200D U+1F9B2
👨🏻‍🦲,Uomo Carnagione Chiara E Calvo,U+1F468 U+1F3FB U+200D U+1F9B2
👨🏼‍🦲,Uomo Carnagione Abbastanza Chiara E Calvo,U+1F468 U+1F3FC U+200D U+1F9B2
👨🏽‍🦲,Uomo Carnagione Olivastra E Calvo,U+1F468 U+1F3FD U+200D U+1F9B2
👨🏾‍🦲,Uomo Carnagione Abbastanza Scura E Calvo,U+1F468 U+1F3FE U+200D U+1F9B2
👨🏿‍🦲,Uomo Carnagione Scura E Calvo,U+1F468 U+1F3FF U+200D U+1F9B2
👩,Donna,U+1F469
👩🏻,Donna Carnagione Chiara,U+1F469 U+1F3FB
👩🏼,Donna Carnagione Abbastanza Chiara,U+1F469 U+1F3FC
👩🏽,Donna Carnagione Olivastra,U+1F469 U+1F3FD
👩🏾,Donna Carnagione Abbastanza Scura,U+1F469 U+1F3FE
👩🏿,Donna Carnagione Scura,U+1F469 U+1F3FF
👩‍🦰,Donna Capelli Rossi,U+1F469 U+200D U+1F9B0
👩🏻‍🦰,Donna Carnagione Chiara E Capelli Rossi,U+1F469 U+1F3FB U+200D U+1F9B0
👩🏼‍🦰,Donna Carnagione Abbastanza Chiara E Capelli Rossi,U+1F469 U+1F3FC U+200D U+1F9B0
👩🏽‍🦰,Donna Carnagione Olivastra E Capelli Rossi,U+1F469 U+1F3FD U+200D U+1F9B0
👩🏾‍🦰,Donna Carnagione Abbastanza Scura E Capelli Rossi,U+1F469 U+1F3FE U+200D U+1F9B0
👩🏿‍🦰,Donna Carnagione Scura E Capelli Rossi,U+1F469 U+1F3FF U+200D U+1F9B0
🧑‍🦰,Persona Capelli Rossi,U+1F9D1 U+200D U+1F9B0
🧑🏻‍🦰,Persona Carnagione Chiara E Capelli Rossi,U+1F9D1 U+1F3FB U+200D U+1F9B0
🧑🏼‍🦰,Persona Carnagione Abbastanza Chiara E Capelli Rossi,U+1F9D1 U+1F3FC U+200D U+1F9B0
🧑🏽‍🦰,Persona Carnagione Olivastra E Capelli Rossi,U+1F9D1 U+1F3FD U+200D U+1F9B0
🧑🏾‍🦰,Persona Carnagione Abbastanza Scura E Capelli Rossi,U+1F9D1 U+1F3FE U+200D U+1F9B0
🧑🏿‍🦰,Persona Carnagione Scura E Capelli Rossi,U+1F9D1 U+1F3FF U+200D U+1F9B0
👩‍🦱,Donna Capelli Ricci,U+1F469 U+200D U+1F9B1
👩🏻‍🦱,Donna Carnagione Chiara E Capelli Ricci,U+1F469 U+1F3FB U+200D U+1F9B1
👩🏼‍🦱,Donna Carnagione Abbastanza Chiara E Capelli Ricci,U+1F469 U+1F3FC U+200D U+1F9B1
👩🏽‍🦱,Donna Carnagione Olivastra E Capelli Ricci,U+1F469 U+1F3FD U+200D U+1F9B1
👩🏾‍🦱,Donna Carnagione Abbastanza Scura E Capelli Ricci,U+1F469 U+1F3FE U+200D U+1F9B1
👩🏿‍🦱,Donna Carnagione Scura E Capelli Ricci,U+1F469 U+1F3FF U+200D U+1F9B1
🧑‍🦱,Persona Capelli Ricci,U+1F9D1 U+200D U+1F9B1
🧑🏻‍🦱,Persona Carnagione Chiara E Capelli Ricci,U+1F9D1 U+1F3FB U+200D U+1F9B1
🧑🏼‍🦱,Persona Carnagione Abbastanza Chiara E Capelli Ricci,U+1F9D1 U+1F3FC U+200D U+1F9B1
🧑🏽‍🦱,Persona Carnagione Olivastra E Capelli Ricci,U+1F9D1 U+1F3FD U+200D U+1F9B1
🧑🏾‍🦱,Persona Carnagione Abbastanza Scura E Capelli Ricci,U+1F9D1 U+1F3FE U+200D U+1F9B1
🧑🏿‍🦱,Persona Carnagione Scura E Capelli Ricci,U+1F9D1 U+1F3FF U+200D U+1F9B1
👩‍🦳,Donna Capelli Bianchi,U+1F469 U+200D U+1F9B3
👩🏻‍🦳,Donna Carnagione Chiara E Capelli Bianchi,U+1F469 U+1F3FB U+200D U+1F9B3
👩🏼‍🦳,Donna Carnagione Abbastanza Chiara E Capelli Bianchi,U+1F469 U+1F3FC U+200D U+1F9B3
👩🏽‍🦳,Donna Carnagione Olivastra E Capelli Bianchi,U+1F469 U+1F3FD U+200D U+1F9B3
👩🏾‍🦳,Donna Carnagione Abbastanza Scura E Capelli Bianchi,U+1F469 U+1F3FE U+200D U+1F9B3
👩🏿‍🦳,Donna Carnagione Scura E Capelli Bianchi,U+1F469 U+1F3FF U+200D U+1F9B3
🧑‍🦳,Persona Capelli Bianchi,U+1F9D1 U+200D U+1F9B3
🧑🏻‍🦳,Persona Carnagione Chiara E Capelli Bianchi,U+1F9D1 U+1F3FB U+200D U+1F9B3
🧑🏼‍🦳,Persona Carnagione Abbastanza Chiara E Capelli Bianchi,U+1F9D1 U+1F3FC U+200D U+1F9B3
🧑🏽‍🦳,Persona Carnagione Olivastra E Capelli Bianchi,U+1F9D1 U+1F3FD U+200D U+1F9B3
🧑🏾‍🦳,Persona Carnagione Abbastanza Scura E Capelli Bianchi,U+1F9D1 U+1F3FE U+200D U+1F9B3
🧑🏿‍🦳,Persona Carnagione Scura E Capelli Bianchi,U+1F9D1 U+1F3FF U+200D U+1F9B3
👩‍🦲,Donna Calvo,U+1F469 U+200D U+1F9B2
👩🏻‍🦲,Donna Carnagione Chiara E Calvo,U+1F469 U+1F3FB U+200D U+1F9B2
👩🏼‍🦲,Donna Carnagione Abbastanza Chiara E Calvo,U+1F469 U+1F3FC U+200D U+1F9B2
👩🏽‍🦲,Donna Carnagione Olivastra E Calvo,U+1F469 U+1F3FD U+200D U+1F9B2
👩🏾‍🦲,Donna Carnagione Abbastanza Scura E Calvo,U+1F469 U+1F3FE U+200D U+1F9B2
👩🏿‍🦲,Donna Carnagione Scura E Calvo,U+1F469 U+1F3FF U+200D U+1F9B2
🧑‍🦲,Persona Calvo,U+1F9D1 U+200D U+1F9B2
🧑🏻‍🦲,Persona Carnagione Chiara E Calvo,U+1F9D1 U+1F3FB U+200D U+1F9B2
🧑🏼‍🦲,Persona Carnagione Abbastanza Chiara E Calvo,U+1F9D1 U+1F3FC U+200D U+1F9B2
🧑🏽‍🦲,Persona Carnagione Olivastra E Calvo,U+1F9D1 U+1F3FD U+200D U+1F9B2
🧑🏾‍🦲,Persona Carnagione Abbastanza Scura E Calvo,U+1F9D1 U+1F3FE U+200D U+1F9B2
🧑🏿‍🦲,Persona Carnagione Scura E Calvo,U+1F9D1 U+1F3FF U+200D U+1F9B2
👱‍♀️,Donna Bionda,U+1F471 U+200D U+2640 U+FE0F
👱🏻‍♀️,Donna Bionda Carnagione Chiara,U+1F471 U+1F3FB U+200D U+2640 U+FE0F
👱🏼‍♀️,Donna Bionda Carnagione Abbastanza Chiara,U+1F471 U+1F3FC U+200D U+2640 U+FE0F
👱🏽‍♀️,Donna Bionda Carnagione Olivastra,U+1F471 U+1F3FD U+200D U+2640 U+FE0F
👱🏾‍♀️,Donna Bionda Carnagione Abbastanza Scura,U+1F471 U+1F3FE U+200D U+2640 U+FE0F
👱🏿‍♀️,Donna Bionda Carnagione Scura,U+1F471 U+1F3FF U+200D U+2640 U+FE0F
👱‍♂️,Uomo Biondo,U+1F471 U+200D U+2642 U+FE0F
👱🏻‍♂️,Uomo Biondo Carnagione Chiara,U+1F471 U+1F3FB U+200D U+2642 U+FE0F
👱🏼‍♂️,Uomo Biondo Carnagione Abbastanza Chiara,U+1F471 U+1F3FC U+200D U+2642 U+FE0F
👱🏽‍♂️,Uomo Biondo Carnagione Olivastra,U+1F471 U+1F3FD U+200D U+2642 U+FE0F
👱🏾‍♂️,Uomo Biondo Carnagione Abbastanza Scura,U+1F471 U+1F3FE U+200D U+2642 U+FE0F
👱🏿‍♂️,Uomo Biondo Carnagione Scura,U+1F471 U+1F3FF U+200D U+2642 U+FE0F
🧓,Persona Anziana,U+1F9D3
🧓🏻,Persona Anziana Carnagione Chiara,U+1F9D3 U+1F3FB
🧓🏼,Persona Anziana Carnagione Abbastanza Chiara,U+1F9D3 U+1F3FC
🧓🏽,Persona Anziana Carnagione Olivastra,U+1F9D3 U+1F3FD
🧓🏾,Persona Anziana Carnagione Abbastanza Scura,U+1F9D3 U+1F3FE
🧓🏿,Persona Anziana Carnagione Scura,U+1F9D3 U+1F3FF
👴,Uomo Anziano,U+1F474
👴🏻,Uomo Anziano Carnagione Chiara,U+1F474 U+1F3FB
👴🏼,Uomo Anziano Carnagione Abbastanza Chiara,U+1F474 U+1F3FC
👴🏽,Uomo Anziano Carnagione Olivastra,U+1F474 U+1F3FD
👴🏾,Uomo Anziano Carnagione Abbastanza Scura,U+1F474 U+1F3FE
👴🏿,Uomo Anziano Carnagione Scura,U+1F474 U+1F3FF
👵,Donna Anziana,U+1F475
👵🏻,Donna Anziana Carnagione Chiara,U+1F475 U+1F3FB
👵🏼,Donna Anziana Carnagione Abbastanza Chiara,U+1F475 U+1F3FC
👵🏽,Donna Anziana Carnagione Olivastra,U+1F475 U+1F3FD
👵🏾,Donna Anziana Carnagione Abbastanza Scura,U+1F475 U+1F3FE
👵🏿,Donna Anziana Carnagione Scura,U+1F475 U+1F3FF
🙍,Persona Corrucciata,U+1F64D
🙍🏻,Persona Corrucciata Carnagione Chiara,U+1F64D U+1F3FB
🙍🏼,Persona Corrucciata Carnagione Abbastanza Chiara,U+1F64D U+1F3FC
🙍🏽,Persona Corrucciata Carnagione Olivastra,U+1F64D U+1F3FD
🙍🏾,Persona Corrucciata Carnagione Abbastanza Scura,U+1F64D U+1F3FE
🙍🏿,Persona Corrucciata Carnagione Scura,U+1F64D U+1F3FF
🙍‍♂️,Uomo Corrucciato,U+1F64D U+200D U+2642 U+FE0F
🙍🏻‍♂️,Uomo Corrucciato Carnagione Chiara,U+1F64D U+1F3FB U+200D U+2642 U+FE0F
🙍🏼‍♂️,Uomo Corrucciato Carnagione Abbastanza Chiara,U+1F64D U+1F3FC U+200D U+2642 U+FE0F
🙍🏽‍♂️,Uomo Corrucciato Carnagione Olivastra,U+1F64D U+1F3FD U+200D U+2642 U+FE0F
🙍🏾‍♂️,Uomo Corrucciato Carnagione Abbastanza Scura,U+1F64D U+1F3FE U+200D U+2642 U+FE0F
🙍🏿‍♂️,Uomo Corrucciato Carnagione Scura,U+1F64D U+1F3FF U+200D U+2642 U+FE0F
🙍‍♀️,Donna Corrucciata,U+1F64D U+200D U+2640 U+FE0F
🙍🏻‍♀️,Donna Corrucciata Carnagione Chiara,U+1F64D U+1F3FB U+200D U+2640 U+FE0F
🙍🏼‍♀️,Donna Corrucciata Carnagione Abbastanza Chiara,U+1F64D U+1F3FC U+200D U+2640 U+FE0F
🙍🏽‍♀️,Donna Corrucciata Carnagione Olivastra,U+1F64D U+1F3FD U+200D U+2640 U+FE0F
🙍🏾‍♀️,Donna Corrucciata Carnagione Abbastanza Scura,U+1F64D U+1F3FE U+200D U+2640 U+FE0F
🙍🏿‍♀️,Donna Corrucciata Carnagione Scura,U+1F64D U+1F3FF U+200D U+2640 U+FE0F
🙎,Persona Imbronciata,U+1F64E
🙎🏻,Persona Imbronciata Carnagione Chiara,U+1F64E U+1F3FB
🙎🏼,Persona Imbronciata Carnagione Abbastanza Chiara,U+1F64E U+1F3FC
🙎🏽,Persona Imbronciata Carnagione Olivastra,U+1F64E U+1F3FD
🙎🏾,Persona Imbronciata Carnagione Abbastanza Scura,U+1F64E U+1F3FE
🙎🏿,Persona Imbronciata Carnagione Scura,U+1F64E U+1F3FF
🙎‍♂️,Uomo Imbronciato,U+1F64E U+200D U+2642 U+FE0F
🙎🏻‍♂️,Uomo Imbronciato Carnagione Chiara,U+1F64E U+1F3FB U+200D U+2642 U+FE0F
🙎🏼‍♂️,Uomo Imbronciato Carnagione Abbastanza Chiara,U+1F64E U+1F3FC U+200D U+2642 U+FE0F
🙎🏽‍♂️,Uomo Imbronciato Carnagione Olivastra,U+1F64E U+1F3FD U+200D U+2642 U+FE0F
🙎🏾‍♂️,Uomo Imbronciato Carnagione Abbastanza Scura,U+1F64E U+1F3FE U+200D U+2642 U+FE0F
🙎🏿‍♂️,Uomo Imbronciato Carnagione Scura,U+1F64E U+1F3FF U+200D U+2642 U+FE0F
🙎‍♀️,Donna Imbronciata,U+1F64E U+200D U+2640 U+FE0F
🙎🏻‍♀️,Donna Imbronciata Carnagione Chiara,U+1F64E U+1F3FB U+200D U+2640 U+FE0F
🙎🏼‍♀️,Donna Imbronciata Carnagione Abbastanza Chiara,U+1F64E U+1F3FC U+200D U+2640 U+FE0F
🙎🏽‍♀️,Donna Imbronciata Carnagione Olivastra,U+1F64E U+1F3FD U+200D U+2640 U+FE0F
🙎🏾‍♀️,Donna Imbronciata Carnagione Abbastanza Scura,U+1F64E U+1F3FE U+200D U+2640 U+FE0F
🙎🏿‍♀️,Donna Imbronciata Carnagione Scura,U+1F64E U+1F3FF U+200D U+2640 U+FE0F
🙅,Persona Che Fa Segno Di No,U+1F645
🙅🏻,Persona Che Fa Segno Di No Carnagione Chiara,U+1F645 U+1F3FB
🙅🏼,Persona Che Fa Segno Di No Carnagione Abbastanza Chiara,U+1F645 U+1F3FC
🙅🏽,Persona Che Fa Segno Di No Carnagione Olivastra,U+1F645 U+1F3FD
🙅🏾,Persona Che Fa Segno Di No Carnagione Abbastanza Scura,U+1F645 U+1F3FE
🙅🏿,Persona Che Fa Segno Di No Carnagione Scura,U+1F645 U+1F3FF
🙅‍♂️,Uomo Con Gesto Di Rifiuto,U+1F645 U+200D U+2642 U+FE0F
🙅🏻‍♂️,Uomo Con Gesto Di Rifiuto Carnagione Chiara,U+1F645 U+1F3FB U+200D U+2642 U+FE0F
🙅🏼‍♂️,Uomo Con Gesto Di Rifiuto Carnagione Abbastanza Chiara,U+1F645 U+1F3FC U+200D U+2642 U+FE0F
🙅🏽‍♂️,Uomo Con Gesto Di Rifiuto Carnagione Olivastra,U+1F645 U+1F3FD U+200D U+2642 U+FE0F
🙅🏾‍♂️,Uomo Con Gesto Di Rifiuto Carnagione Abbastanza Scura,U+1F645 U+1F3FE U+200D U+2642 U+FE0F
🙅🏿‍♂️,Uomo Con Gesto Di Rifiuto Carnagione Scura,U+1F645 U+1F3FF U+200D U+2642 U+FE0F
🙅‍♀️,Donna Con Gesto Di Rifiuto,U+1F645 U+200D U+2640 U+FE0F
🙅🏻‍♀️,Donna Con Gesto Di Rifiuto Carnagione Chiara,U+1F645 U+1F3FB U+200D U+2640 U+FE0F
🙅🏼‍♀️,Donna Con Gesto Di Rifiuto Carnagione Abbastanza Chiara,U+1F645 U+1F3FC U+200D U+2640 U+FE0F
🙅🏽‍♀️,Donna Con Gesto Di Rifiuto Carnagione Olivastra,U+1F645 U+1F3FD U+200D U+2640 U+FE0F
🙅🏾‍♀️,Donna Con Gesto Di Rifiuto Carnagione Abbastanza Scura,U+1F645 U+1F3FE U+200D U+2640 U+FE0F
🙅🏿‍♀️,Donna Con Gesto Di Rifiuto Carnagione Scura,U+1F645 U+1F3FF U+200D U+2640 U+FE0F
🙆,Persona Con Gesto OK,U+1F646
🙆🏻,Persona Con Gesto OK Carnagione Chiara,U+1F646 U+1F3FB
🙆🏼,Persona Con Gesto OK Carnagione Abbastanza Chiara,U+1F646 U+1F3FC
🙆🏽,Persona Con Gesto OK Carnagione Olivastra,U+1F646 U+1F3FD
🙆🏾,Persona Con Gesto OK Carnagione Abbastanza Scura,U+1F646 U+1F3FE
🙆🏿,Persona Con Gesto OK Carnagione Scura,U+1F646 U+1F3FF
🙆‍♂️,Uomo Con Gesto OK,U+1F646 U+200D U+2642 U+FE0F
🙆🏻‍♂️,Uomo Con Gesto OK Carnagione Chiara,U+1F646 U+1F3FB U+200D U+2642 U+FE0F
🙆🏼‍♂️,Uomo Con Gesto OK Carnagione Abbastanza Chiara,U+1F646 U+1F3FC U+200D U+2642 U+FE0F
🙆🏽‍♂️,Uomo Con Gesto OK Carnagione Olivastra,U+1F646 U+1F3FD U+200D U+2642 U+FE0F
🙆🏾‍♂️,Uomo Con Gesto OK Carnagione Abbastanza Scura,U+1F646 U+1F3FE U+200D U+2642 U+FE0F
🙆🏿‍♂️,Uomo Con Gesto OK Carnagione Scura,U+1F646 U+1F3FF U+200D U+2642 U+FE0F
🙆‍♀️,Donna Con Gesto OK,U+1F646 U+200D U+2640 U+FE0F
🙆🏻‍♀️,Donna Con Gesto OK Carnagione Chiara,U+1F646 U+1F3FB U+200D U+2640 U+FE0F
🙆🏼‍♀️,Donna Con Gesto OK Carnagione Abbastanza Chiara,U+1F646 U+1F3FC U+200D U+2640 U+FE0F
🙆🏽‍♀️,Donna Con Gesto OK Carnagione Olivastra,U+1F646 U+1F3FD U+200D U+2640 U+FE0F
🙆🏾‍♀️,Donna Con Gesto OK Carnagione Abbastanza Scura,U+1F646 U+1F3FE U+200D U+2640 U+FE0F
🙆🏿‍♀️,Donna Con Gesto OK Carnagione Scura,U+1F646 U+1F3FF U+200D U+2640 U+FE0F
💁,Persona Al Punto Informazioni,U+1F481
💁🏻,Persona Al Punto Informazioni Carnagione Chiara,U+1F481 U+1F3FB
💁🏼,Persona Al Punto Informazioni Carnagione Abbastanza Chiara,U+1F481 U+1F3FC
💁🏽,Persona Al Punto Informazioni Carnagione Olivastra,U+1F481 U+1F3FD
💁🏾,Persona Al Punto Informazioni Carnagione Abbastanza Scura,U+1F481 U+1F3FE
💁🏿,Persona Al Punto Informazioni Carnagione Scura,U+1F481 U+1F3FF
💁‍♂️,Uomo Con Suggerimento,U+1F481 U+200D U+2642 U+FE0F
💁🏻‍♂️,Uomo Con Suggerimento Carnagione Chiara,U+1F481 U+1F3FB U+200D U+2642 U+FE0F
💁🏼‍♂️,Uomo Con Suggerimento Carnagione Abbastanza Chiara,U+1F481 U+1F3FC U+200D U+2642 U+FE0F
💁🏽‍♂️,Uomo Con Suggerimento Carnagione Olivastra,U+1F481 U+1F3FD U+200D U+2642 U+FE0F
💁🏾‍♂️,Uomo Con Suggerimento Carnagione Abbastanza Scura,U+1F481 U+1F3FE U+200D U+2642 U+FE0F
💁🏿‍♂️,Uomo Con Suggerimento Carnagione Scura,U+1F481 U+1F3FF U+200D U+2642 U+FE0F
💁‍♀️,Donna Con Suggerimento,U+1F481 U+200D U+2640 U+FE0F
💁🏻‍♀️,Donna Con Suggerimento Carnagione Chiara,U+1F481 U+1F3FB U+200D U+2640 U+FE0F
💁🏼‍♀️,Donna Con Suggerimento Carnagione Abbastanza Chiara,U+1F481 U+1F3FC U+200D U+2640 U+FE0F
💁🏽‍♀️,Donna Con Suggerimento Carnagione Olivastra,U+1F481 U+1F3FD U+200D U+2640 U+FE0F
💁🏾‍♀️,Donna Con Suggerimento Carnagione Abbastanza Scura,U+1F481 U+1F3FE U+200D U+2640 U+FE0F
💁🏿‍♀️,Donna Con Suggerimento Carnagione Scura,U+1F481 U+1F3FF U+200D U+2640 U+FE0F
🙋,Persona Con Mano Alzata,U+1F64B
🙋🏻,Persona Con Mano Alzata Carnagione Chiara,U+1F64B U+1F3FB
🙋🏼,Persona Con Mano Alzata Carnagione Abbastanza Chiara,U+1F64B U+1F3FC
🙋🏽,Persona Con Mano Alzata Carnagione Olivastra,U+1F64B U+1F3FD
🙋🏾,Persona Con Mano Alzata Carnagione Abbastanza Scura,U+1F64B U+1F3FE
🙋🏿,Persona Con Mano Alzata Carnagione Scura,U+1F64B U+1F3FF
🙋‍♂️,Uomo Con Mano Alzata,U+1F64B U+200D U+2642 U+FE0F
🙋🏻‍♂️,Uomo Con Mano Alzata Carnagione Chiara,U+1F64B U+1F3FB U+200D U+2642 U+FE0F
🙋🏼‍♂️,Uomo Con Mano Alzata Carnagione Abbastanza Chiara,U+1F64B U+1F3FC U+200D U+2642 U+FE0F
🙋🏽‍♂️,Uomo Con Mano Alzata Carnagione Olivastra,U+1F64B U+1F3FD U+200D U+2642 U+FE0F
🙋🏾‍♂️,Uomo Con Mano Alzata Carnagione Abbastanza Scura,U+1F64B U+1F3FE U+200D U+2642 U+FE0F
🙋🏿‍♂️,Uomo Con Mano Alzata Carnagione Scura,U+1F64B U+1F3FF U+200D U+2642 U+FE0F
🙋‍♀️,Donna Con Mano Alzata,U+1F64B U+200D U+2640 U+FE0F
🙋🏻‍♀️,Donna Con Mano Alzata Carnagione Chiara,U+1F64B U+1F3FB U+200D U+2640 U+FE0F
🙋🏼‍♀️,Donna Con Mano Alzata Carnagione Abbastanza Chiara,U+1F64B U+1F3FC U+200D U+2640 U+FE0F
🙋🏽‍♀️,Donna Con Mano Alzata Carnagione Olivastra,U+1F64B U+1F3FD U+200D U+2640 U+FE0F
🙋🏾‍♀️,Donna Con Mano Alzata Carnagione Abbastanza Scura,U+1F64B U+1F3FE U+200D U+2640 U+FE0F
🙋🏿‍♀️,Donna Con Mano Alzata Carnagione Scura,U+1F64B U+1F3FF U+200D U+2640 U+FE0F
🧏,Persona Con Problemi Di Udito,U+1F9CF
🧏🏻,Persona Con Problemi Di Udito Carnagione Chiara,U+1F9CF U+1F3FB
🧏🏼,Persona Con Problemi Di Udito Carnagione Abbastanza Chiara,U+1F9CF U+1F3FC
🧏🏽,Persona Con Problemi Di Udito Carnagione Olivastra,U+1F9CF U+1F3FD
🧏🏾,Persona Con Problemi Di Udito Carnagione Abbastanza Scura,U+1F9CF U+1F3FE
🧏🏿,Persona Con Problemi Di Udito Carnagione Scura,U+1F9CF U+1F3FF
🧏‍♂️,Uomo Con Problemi Di Udito,U+1F9CF U+200D U+2642 U+FE0F
🧏🏻‍♂️,Uomo Con Problemi Di Udito Carnagione Chiara,U+1F9CF U+1F3FB U+200D U+2642 U+FE0F
🧏🏼‍♂️,Uomo Con Problemi Di Udito Carnagione Abbastanza Chiara,U+1F9CF U+1F3FC U+200D U+2642 U+FE0F
🧏🏽‍♂️,Uomo Con Problemi Di Udito Carnagione Olivastra,U+1F9CF U+1F3FD U+200D U+2642 U+FE0F
🧏🏾‍♂️,Uomo Con Problemi Di Udito Carnagione Abbastanza Scura,U+1F9CF U+1F3FE U+200D U+2642 U+FE0F
🧏🏿‍♂️,Uomo Con Problemi Di Udito Carnagione Scura,U+1F9CF U+1F3FF U+200D U+2642 U+FE0F
🧏‍♀️,Donna Con Problemi Di Udito,U+1F9CF U+200D U+2640 U+FE0F
🧏🏻‍♀️,Donna Con Problemi Di Udito Carnagione Chiara,U+1F9CF U+1F3FB U+200D U+2640 U+FE0F
🧏🏼‍♀️,Donna Con Problemi Di Udito Carnagione Abbastanza Chiara,U+1F9CF U+1F3FC U+200D U+2640 U+FE0F
🧏🏽‍♀️,Donna Con Problemi Di Udito Carnagione Olivastra,U+1F9CF U+1F3FD U+200D U+2640 U+FE0F
🧏🏾‍♀️,Donna Con Problemi Di Udito Carnagione Abbastanza Scura,U+1F9CF U+1F3FE U+200D U+2640 U+FE0F
🧏🏿‍♀️,Donna Con Problemi Di Udito Carnagione Scura,U+1F9CF U+1F3FF U+200D U+2640 U+FE0F
🙇,Persona Che Fa Un Inchino Profondo,U+1F647
🙇🏻,Persona Che Fa Un Inchino Profondo Carnagione Chiara,U+1F647 U+1F3FB
🙇🏼,Persona Che Fa Un Inchino Profondo Carnagione Abbastanza Chiara,U+1F647 U+1F3FC
🙇🏽,Persona Che Fa Un Inchino Profondo Carnagione Olivastra,U+1F647 U+1F3FD
🙇🏾,Persona Che Fa Un Inchino Profondo Carnagione Abbastanza Scura,U+1F647 U+1F3FE
🙇🏿,Persona Che Fa Un Inchino Profondo Carnagione Scura,U+1F647 U+1F3FF
🙇‍♂️,Uomo Che Fa Inchino Profondo,U+1F647 U+200D U+2642 U+FE0F
🙇🏻‍♂️,Uomo Che Fa Inchino Profondo Carnagione Chiara,U+1F647 U+1F3FB U+200D U+2642 U+FE0F
🙇🏼‍♂️,Uomo Che Fa Inchino Profondo Carnagione Abbastanza Chiara,U+1F647 U+1F3FC U+200D U+2642 U+FE0F
🙇🏽‍♂️,Uomo Che Fa Inchino Profondo Carnagione Olivastra,U+1F647 U+1F3FD U+200D U+2642 U+FE0F
🙇🏾‍♂️,Uomo Che Fa Inchino Profondo Carnagione Abbastanza Scura,U+1F647 U+1F3FE U+200D U+2642 U+FE0F
🙇🏿‍♂️,Uomo Che Fa Inchino Profondo Carnagione Scura,U+1F647 U+1F3FF U+200D U+2642 U+FE0F
🙇‍♀️,Donna Che Fa Inchino Profondo,U+1F647 U+200D U+2640 U+FE0F
🙇🏻‍♀️,Donna Che Fa Inchino Profondo Carnagione Chiara,U+1F647 U+1F3FB U+200D U+2640 U+FE0F
🙇🏼‍♀️,Donna Che Fa Inchino Profondo Carnagione Abbastanza Chiara,U+1F647 U+1F3FC U+200D U+2640 U+FE0F
🙇🏽‍♀️,Donna Che Fa Inchino Profondo Carnagione Olivastra,U+1F647 U+1F3FD U+200D U+2640 U+FE0F
🙇🏾‍♀️,Donna Che Fa Inchino Profondo Carnagione Abbastanza Scura,U+1F647 U+1F3FE U+200D U+2640 U+FE0F
🙇🏿‍♀️,Donna Che Fa Inchino Profondo Carnagione Scura,U+1F647 U+1F3FF U+200D U+2640 U+FE0F
🤦,Persona Esasperata,U+1F926
🤦🏻,Persona Esasperata Carnagione Chiara,U+1F926 U+1F3FB
🤦🏼,Persona Esasperata Carnagione Abbastanza Chiara,U+1F926 U+1F3FC
🤦🏽,Persona Esasperata Carnagione Olivastra,U+1F926 U+1F3FD
🤦🏾,Persona Esasperata Carnagione Abbastanza Scura,U+1F926 U+1F3FE
